Function;Use;Sharing;Reporting;Student_Type;Position_Type;Object_Type;Pre_K;Operating_Status;Object_Description;Text_2;SubFund_Description;Job_Title_Description;Text_3;Text_4;Sub_Object_Description;Location_Description;FTE;Function_Description;Facility_or_Department;Position_Extra;Total;Program_Description;Fund_Description;Text_1
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Teacher, Elementary ;nan;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;-1.63;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Professional Development;ISPD;School on Central Budgets;Non-School;Unspecified;Social Worker;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;TEACHER LEARNING & LEADERSHIP;GENERAL FUND;Social Worker ;nan;nan;nan;TEACHER LEARNING & LEADERSHIP;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;247.47088;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
Professional Development;ISPD;School on Central Budgets;Non-School;Unspecified;Non-Position;Supplies/Materials;NO_LABEL;PreK-12 Operating;COPYING;TEACHER LEARNING & LEADERSHIP;FEDERAL GDPG FUND - FY ;(blank);nan;nan;nan;TEACHER LEARNING & LEADERSHIP;nan;TITLE II-PART A-TEACHER QUALIT;nan;UNDESIGNATED;1565.12;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;NONCAPITALIZED  REMOD/RENOV   ;nan;nan;nan;nan;nan;nan;School ;nan;FACILITIES ACQ AND CONST      ;nan;nan;4.9300000000000015;nan;MILLAGE                  ;PLUMBING-Host Bgt             
Curriculum Development;ISPD;Shared Services;Non-School;Unspecified;Coordinator/Manager;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;EARLY EDUCATION;FEDERAL GDPG FUND - FY ;Project Coordinator ;nan;nan;nan;EARLY CHILDHOOD EDUCATION;nan;HEAD START;nan;PROFESSIONAL-OTHER;1410.4765599999994;SUPPORT SERVICES-INSTRUCTIONAL;nan;INSTRUCTIONAL STAFF
Data Processing & Information Services;Business Services;School on Central Budgets;Non-School;Unspecified;Other;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Specialist II, PC Apps ;nan;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;-673.0699999999998;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Aides Compensation;Instruction;School Reported;School;PreK;TA;Benefits;PreK;PreK-12 Operating;EMPLOYEE BENEFITS;nan;DISTRICT SPECIAL REVENUE FUNDS;Early Childhood Education ;Regular;nan;nan;nan;nan;TUITION BASED - ECE;nan;PARAPROFESSIONAL;216.88;EARLY CHILDHOOD;nan;REGULAR INSTRUCTION
Professional Development;ISPD;Leadership & Management;Non-School;Unspecified;Instructional Coach;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;WORKSHOP PARTICIPANT          ;nan;nan;LITERACY COACH                ;nan;nan;nan;CHIEF ACADEMIC OFFICER        ;nan;INST STAFF TRAINING SVCS      ;USING DATA HUMAN CAPITAL DECIS;nan;105.71;nan;ARRA - RACE TO THE TOP        ;RACE TO THE TOP               
Curriculum Development;ISPD;Shared Services;Non-School;Unspecified;Substitute;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;HUMANITIES;FEDERAL GDPG FUND - FY ;Teacher,Retrd Shrt Term Sub ;nan;nan;nan;HUMANITIES;0.006465517241380001;TITLE II-PART A-TEACHER QUALIT;nan;PROFESSIONAL-INSTRUCTIONAL;194.23247738799998;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;GENERAL FUND;Teacher, Secondary (High) ;Turnaround;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;1224.4;GENERAL HIGH SCHOOL EDUCATION;nan;REGULAR INSTRUCTION
Finance, Budget, Purchasing & Distribution;Business Services;Leadership & Management;Non-School;Unspecified;Sec/Clerk/Other Admin;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries Or Wages For Support Personnel;nan;Operations;CLERICAL,WAREHOUSE/RECEIVING;nan;nan;Salaries Or Wages For Support Personnel;Undistributed;0.89;Facilities Maintenance And Operations;Warehousing;CO CLERICAL;24230.6926159;Undistributed;General Operating Fund;REGULAR PAY
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;TEACHER SUBS;GENERAL FUND;Teacher, Super Sub Rtd D/D ;Regular;nan;nan;nan;0.00215517241379;UNALLOC BUDGETS/SCHOOLS;nan;PROFESSIONAL-INSTRUCTIONAL;91.62871635;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Untracked Budget Set-Aside;Untracked Budget Set-Aside;School Reported;School;Unspecified;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;CLASSROOM TEACHER             ;nan;nan;TSA, BASIC                    ;nan;nan;nan;School ;0.076923223327;BASIC (FEFP K-12)             ;nan;nan;4309.73868416;nan;GENERAL FUND                  ;nan
Social & Emotional;Pupil Services & Enrichment;School on Central Budgets;Non-School;Unspecified;Social Worker;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYER PD MED CONTRIBUTION;nan;GENERAL FUND;Social Worker ;nan;nan;nan;SOCIAL WORK SERVICES;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;420.57;SOCIAL WORK SERVICES;nan;STUDENTS
Utilities;O&M;School Reported;School;Unspecified;Non-Position;Rent/Utilities;NO_LABEL;PreK-12 Operating;WATER/SEWAGE;OPERATIONS - UTILITIES;GENERAL FUND;(blank);Regular;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;4536.8;CARE & UPKEEP OF BLDG SERVICES;nan;OPERATION AND MAINT OF PLANT
Food Services;O&M;Shared Services;School;Unspecified;Other;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;Child Nutrition;CAFETERIA EMPLOYEE, FOOD SERV.;nan;Undistributed;Extra Duty Pay/Overtime For Support Personnel;School ;nan;Food Services (Child Nutrition Fund Only);Child Nutrition;REG FOOD SERVICE WORKER ;130.48000000000002;Undistributed;National School Breakfast And Lunch Program;ADDL REGULAR PAY-NOT SMOOTHED
Security & Safety;O&M;School Reported;School;Unspecified;School Monitor/Security;Base Salary/Compensation;Non PreK;PreK-12 Operating;Personal Services - Other Compensation;nan;nan;nan;nan;Regular Instructional Support;nan;nan;0.0;nan;nan;SECURITY -  DAYS;69.6810124468;Support - Regular Instruction;General Purpose School;nan
Student Transportation;O&M;Shared Services;Non-School;Unspecified;Other;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries Or Wages For Support Personnel;nan;Operations;TRANSPORTATION,BUS DRIVERS,REG;nan;Transportation - Bus Drivers;Salaries Or Wages For Support Personnel;Undistributed;0.97;Transportation;Transportation Department;BUS DRIVER;25747.2914828;Undistributed;General Operating Fund;REGULAR PAY
Other Compensation;Instruction;School Reported;School;Special Education;Other;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;OTHER PERSONAL SERVICES       ;nan;nan;CLERICAL/TCHR ASST SUB        ;nan;nan;nan;School ;0.0;EXCEPTIONAL                   ;nan;nan;24.87;nan;GENERAL FUND                  ;nan
Student Transportation;O&M;Leadership & Management;Non-School;Unspecified;Coordinator/Manager;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Manager, Fleet Operations ;nan;nan;nan;TRANSPORTATION;nan;NON-PROJECT;nan;UNDESIGNATED;-58.90000000000001;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Governance;Leadership;Leadership & Management;Non-School;Unspecified;(Exec) Director;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Chief Strategy Officer ;nan;nan;nan;STRATEGY OFFICE;nan;NON-PROJECT;nan;UNDESIGNATED;-1619.53;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Finance, Budget, Purchasing & Distribution;Business Services;Leadership & Management;Non-School;Unspecified;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;CONTRACTING AND PROCUREMENT;LOCAL;CONTRACT SPECIALIST;nan;nan;nan;PROCUREMENT DIVISION;1.0;nan;nan;nan;67303.3892323;nan;nan;nan
Social & Emotional;Pupil Services & Enrichment;School on Central Budgets;Non-School;Special Education;Psychologist;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;SPECIAL EDUCATION INSTRUCTION;LOCAL;PSYCHOLOGIST;nan;nan;nan;RELATED SERVICES;1.0;nan;nan;nan;79497.84492310001;nan;nan;nan
Utilities;O&M;School Reported;School;Unspecified;Non-Position;Rent/Utilities;NO_LABEL;PreK-12 Operating;NATURAL GAS;OPERATIONS - UTILITIES;GENERAL FUND;(blank);Regular;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;23764.03;CARE & UPKEEP OF BLDG SERVICES;nan;OPERATION AND MAINT OF PLANT
Facilities & Maintenance;O&M;School Reported;School;Unspecified;Custodian;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;TERMINAL LEAVE VACATION       ;nan;nan;CUSTODIAN                     ;nan;nan;nan;School ;nan;OPERATION OF PLANT            ;nan;nan;642.8100000000002;nan;GENERAL FUND                  ;TERMINAL LEAVE                
Teacher Compensation;Instruction;School Reported;School;Special Education;Teacher;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Teacher,Spec Ed Center Prg ;nan;nan;nan;nan;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;606.87;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Curriculum Development;ISPD;Shared Services;Non-School;PreK;Substitute;Benefits;PreK;PreK-12 Operating;EMPLOYEE BENEFITS;EARLY EDUCATION;FEDERAL GDPG FUND - FY ;Teacher,Retrd Shrt Term Sub ;nan;nan;nan;EARLY CHILDHOOD EDUCATION;nan;HEAD START;nan;PROFESSIONAL-INSTRUCTIONAL;4.3;EARLY CHILDHOOD;nan;REGULAR INSTRUCTION
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;CLASSROOM TEACHER             ;nan;nan;TEACHER, BUSINESS TECH ED     ;nan;nan;nan;School ;0.42999962838699995;VOCATIONAL (K-12)             ;nan;nan;22891.3810144;nan;GENERAL FUND                  ;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Purchased Services;nan;Support Services - Instructional Staff;nan;nan;nan;Purchased Services;nan;nan;Instruction And Curriculum Development Services *;nan;nan;2999.84;nan;Special Trust;ITEMS FOUNDATION-AUG 
Utilities;O&M;School Reported;School;Unspecified;Non-Position;Rent/Utilities;NO_LABEL;PreK-12 Operating;WATER/SEWAGE;OPERATIONS - UTILITIES;GENERAL FUND;(blank);Regular;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;4764.01;CARE & UPKEEP OF BLDG SERVICES;nan;OPERATION AND MAINT OF PLANT
Special Population Program Management & Support;ISPD;Leadership & Management;Non-School;Special Education;(Exec) Director;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;STRATEGIC MANAGEMENT;LOCAL;DEPUTY CHANCELLOR SPED;nan;nan;nan;SPECIAL EDUCATION - LEA;1.0;nan;nan;nan;188566.443536;nan;nan;nan
Aides Compensation;Instruction;School Reported;School;Unspecified;TA;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;nan;GENERAL FUND;Tutor Paraprofessional ;Turnaround;nan;nan;nan;1.04722222222;NON-PROJECT;nan;PARAPROFESSIONAL;26201.958870200004;GENERAL HIGH SCHOOL EDUCATION;nan;REGULAR INSTRUCTION
Physical Health & Services;Pupil Services & Enrichment;Shared Services;Non-School;Unspecified;Non-Position;Contracted Services;NO_LABEL;PreK-12 Operating;OTHER PROFESSIONAL SERVICES;SCHOOL NURSE SERVICES;DISTRICT SPECIAL REVENUE FUNDS;(blank);nan;nan;nan;SCHOOL NURSE SERVICES;nan;WELLNESS COORDINATOR;nan;UNDESIGNATED;2470.21;OTHER GENERAL EDUCATION;nan;REGULAR INSTRUCTION
Social & Emotional;Pupil Services & Enrichment;School Reported;School;Unspecified;NO_LABEL;Supplies/Materials;NO_LABEL;PreK-12 Operating;SUPPLIES                      ;nan;nan;nan;nan;nan;nan;School ;nan;GUIDANCE SERVICES             ;nan;nan;153.05;nan;GENERAL FUND                  ;SCHOOL OPERATING ACCOUNT      
Professional Development;ISPD;School Reported;School;Unspecified;Instructional Coach;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;nan;GENERAL FUND;Facilitator,Elem ;Turnaround;nan;nan;nan;nan;ASSESSMENT MANAGEMENT FUND;nan;PROFESSIONAL-INSTRUCTIONAL;547.8;GENERAL K-8 EDUCATION;nan;REGULAR INSTRUCTION
School Supervision;Leadership;Leadership & Management;Non-School;Unspecified;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;INSTRUCTIONAL SUPPORT TEAMS; MILL LEVY;Specialist, Instructional ;nan;nan;nan;ES TEAM ;0.49998635743500003;ARTS ED;nan;PROFESSIONAL-OTHER;43998.86051600001;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
Physical Health & Services;Pupil Services & Enrichment;School on Central Budgets;Non-School;Special Education;Speech Therapist;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;SPEECH & LANGUAGE;GENERAL FUND;Speech Lang Pathology Asst ;nan;nan;nan;SPECIAL EDUCATION;nan;SPECIAL EDUCATION - ITINERANT;nan;PROFESSIONAL-OTHER;3037.46;SPECIAL EDUCATION-S/L;nan;SPECIAL EDUCATION
Physical Health & Services;Pupil Services & Enrichment;School Reported;School;Special Education;Other;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;State Deaf Education;SPECIAL ED, AUDIOLOGIST;nan;nan;Extra Duty Wages;School ;nan;Community Services;Instruction And Curriculum;AUDIOLOGIST;273.855536026;Services To Students With Disabilities (Special Education);State Deaf Education;MISCELLANEOUS 
Facilities & Maintenance;O&M;Shared Services;Non-School;Unspecified;Custodian;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;CUSTODIAL-SCHOOLS;GENERAL FUND;Custodian Asst II ;nan;nan;nan;ALL SCHOOLS-UNDISTRIBUTED;nan;NON-PROJECT;nan;CRAFTS, TRADES, AND SERVICES;772.4;CARE & UPKEEP OF BLDG SERVICES;nan;OPERATION AND MAINT OF PLANT
Enrichment;Pupil Services & Enrichment;School Reported;School;Unspecified;Non-Position;Other Non-Compensation;NO_LABEL;PreK-12 Operating;TRANSPORTATION/FIELD TRIPS;nan;GENERAL FUND;(blank);Regular;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;880.27;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;DISTRICT SPECIAL REVENUE FUNDS;Teacher, Elementary ;Regular;nan;nan;nan;nan;READ TO SUCCEED;nan;PROFESSIONAL-INSTRUCTIONAL;1171.26;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Special Population Program Management & Support;ISPD;School Reported;School;Unspecified;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;GENERAL FUND;Program Specialist ;Alternative;nan;nan;nan;0.999972889728;NON-PROJECT;nan;PROFESSIONAL-OTHER;80557.6829628;OTHER GENERAL EDUCATION;nan;OTHER EDUCATION
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;GENERAL FUND;Teacher Secondary (Middle) ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;2701.0406399999997;GENERAL MIDDLE/JUNIOR HIGH SCH;nan;REGULAR INSTRUCTION
Instructional Materials & Supplies;Instruction;School Reported;School;Unspecified;Non-Position;Supplies/Materials;NO_LABEL;PreK-12 Operating;GENERAL SUPPLIES;EXT DAY TUITION PAID KINDERGAR;DISTRICT SPECIAL REVENUE FUNDS;(blank);Regular;nan;nan;nan;nan;EXT DAY TUITION PAID KINDERGAR;nan;UNDESIGNATED;4.77;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;CONTRA BENEFITS;nan;GENERAL FUND;Supervisor, Area ;nan;nan;nan;COMMUNITY EDUCATION;nan;NON-PROJECT;nan;UNDESIGNATED;-900.4;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Other Compensation;Instruction;School Reported;School;Special Education;Other;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;OTHER PERSONAL SERVICES       ;nan;nan;CLERICAL/TCHR ASST SUB        ;nan;nan;nan;School ;0.0;EXCEPTIONAL                   ;nan;nan;339.5300000000001;nan;GENERAL FUND                  ;nan
School Administration;Leadership;School Reported;School;Unspecified;Principal;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYER PD MED CONTRIBUTION;nan;GENERAL FUND;Principal, Elementary ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;ADMINISTRATOR;503.86;SUPPORT SERVICES-SCHOOL ADMIN;nan;SCHOOL ADMINISTRATION
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Salaries And Wages For Teachers And Other Professi;nan;Title  Part A Improving Basic Programs;TEACHER, REGULAR;nan;nan;Extended Year;Summer School;nan;Instruction;Instruction And Curriculum;TEACHER BACHELOR;1537.74864733;Title I, Part A Schoolwide Activities Related To State Comp;Title  Part A Improving Basic Programs;EXTENDED YEAR
Professional Development;ISPD;Leadership & Management;Non-School;Unspecified;NO_LABEL;Supplies/Materials;NO_LABEL;PreK-12 Operating;SUPPLIES                      ;nan;nan;nan;nan;nan;nan;CURRICULUM AND INSTR          ;nan;INST & CURRICULUM DEV SVCS    ;nan;nan;342.19;nan;FEDERAL DIRECT                ;INHERITING A LEGACY OF FREEDOM
Insurance;Business Services;Leadership & Management;Non-School;Unspecified;Non-Position;Other Non-Compensation;Non PreK;PreK-12 Operating;Fire and Extended Coverage Insurance;nan;Fiscal Services;nan;nan;nan;Insurance *;nan;nan;Other Fiscal Services;nan;nan;599763.44;nan;General;RISK MANAGEMENT
Untracked Budget Set-Aside;Untracked Budget Set-Aside;School Reported;School;Unspecified;Substitute;Benefits;NO_LABEL;PreK-12 Operating;WORKERS' COMPENSATION         ;nan;nan;SUB TEACHER ALL               ;nan;nan;nan;School ;0.0;INST STAFF TRAINING SVCS      ;nan;nan;0.34;FDLRS                         ;GENERAL FUND                  ;NATIONAL LITERACY PROJECT     
Student Assignment;Leadership;Leadership & Management;Non-School;Unspecified;Non-Position;Rent/Utilities;Non PreK;PreK-12 Operating;Postage;nan;Support Services - Central;nan;nan;nan;Communications *;nan;nan;Statistical Services *;nan;nan;15365.04;nan;General;STUDENT ASSIGNMENTS
Physical Health & Services;Pupil Services & Enrichment;School Reported;School;Special Education;Occupational Therapist;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;OTHER CERTIFIED               ;nan;nan;OCCUPATIONAL THERAPIST        ;nan;nan;nan;School ;0.97524562355;EXCEPTIONAL                   ;nan;nan;84810.3535613;nan;GENERAL FUND                  ;nan
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Teacher, Secondary (High) ;nan;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;-525.65;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Food Services;O&M;School Reported;School;Unspecified;Other;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;FOOD SERVICES;FOOD SERVICE FUND;Food Service Worker II ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;CRAFTS, TRADES, AND SERVICES;143.52;FOOD PREPARATION/SERVING;nan;FOOD SERVICES OPERATIONS
School Supervision;Leadership;Leadership & Management;Non-School;Unspecified;NO_LABEL;Supplies/Materials;NO_LABEL;PreK-12 Operating;SOFTWARE SUBSCRIPTIONS        ;nan;nan;nan;nan;nan;nan;CHIEF OF ADMINISTRATION       ;nan;INSTRUCTION RELATED TECHNOLOGY;nan;nan;3536.71;nan;GENERAL FUND                  ;COMPUTER MAINT CONTRACT       
Governance;Leadership;Leadership & Management;Non-School;Unspecified;(Exec) Director;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Chief Human Resources Offr ;nan;nan;nan;HUMAN RESOURCES;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;1521.62;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Food Services;O&M;School Reported;School;Unspecified;Other;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Food Service Worker II ;nan;nan;nan;nan;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;147.76999999999995;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Parent & Community Relations;Pupil Services & Enrichment;School Reported;School;Unspecified;Other;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;nan;GENERAL FUND;SFPC Liaison Specialist ;Turnaround;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-OTHER;2019.4104;SUPPORT SERVICES-INSTRUCTIONAL;nan;INSTRUCTIONAL STAFF
Physical Health & Services;Pupil Services & Enrichment;School on Central Budgets;Non-School;Special Education;Speech Therapist;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;SPEECH & LANGUAGE;GENERAL FUND;Speech Language Pathologst ;nan;nan;nan;SPECIAL EDUCATION;nan;SPECIAL EDUCATION - ITINERANT;nan;PROFESSIONAL-INSTRUCTIONAL;1170.63;SPECIAL EDUCATION-S/L;nan;SPECIAL EDUCATION
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;High School Allotment;TEACHER, REGULAR;nan;nan;Salaries And Wages For Teachers And Other Professi;School ;0.89;Instruction;All Campus Payroll;TEACHER BACHELOR;48764.6643867;High School Allotment;General Operating Fund;REGULAR PAY
Facilities & Maintenance;O&M;School Reported;School;Unspecified;Custodian;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;CUSTODIAL-SCHOOLS;GENERAL FUND;Custodial Helper - Day ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;CRAFTS, TRADES, AND SERVICES;4634.6500000000015;CARE & UPKEEP OF BLDG SERVICES;nan;OPERATION AND MAINT OF PLANT
School Administration;NO_LABEL;School Reported;School;NO_LABEL;NO_LABEL;Equipment & Equipment Lease;NO_LABEL;PreK-12 Operating;RENTAL OF EQUIPMENT AND VEHICLES;nan;MIDDLE SCHOOL PROGRAM 6-8;nan;nan;nan;nan;nan;nan;INSTRUCTION;nan;nan;6626.04;MIDDLE SCHOOL PROGRAM  6-8;General Fund;nan
Security & Safety;O&M;Leadership & Management;Non-School;Unspecified;NO_LABEL;Supplies/Materials;NO_LABEL;PreK-12 Operating;SUPPLIES                      ;nan;nan;nan;nan;nan;nan;School ;nan;INST & CURRICULUM DEV SVCS    ;nan;nan;29389.58;nan;GENERAL FUND                  ;MOBILE RADIO/CAMERA PROJECT   
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Regular *;nan;Special Instruction;nan;nan;nan;Certificated Employees Salaries And Wages;nan;nan;Disadvantaged Youth *;nan;nan;-181120.48;nan;Title I - Disadvantaged Children/Targeted Assistance;TITLE I 
Aides Compensation;Instruction;School Reported;School;Special Education;TA;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Elementary Spec Ed Para ;nan;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;-22.95;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Other Non-Compensation;Instruction;School Reported;School;Unspecified;Non-Position;Contracted Services;Non PreK;PreK-12 Operating;Other Pupil Transportation Services;nan;Regular Instruction;nan;nan;nan;Pupil Transportation *;nan;nan;Other Regular;nan;nan;-1156.67;nan;Special Trust;PSP PROJECT/STARTING PT.
Student Transportation;O&M;Shared Services;Non-School;Unspecified;Other;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Bus Driver Less than  Yr ;nan;nan;nan;TRANSPORTATION;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;231.92;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Substitute Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Substitute Professionals;nan;Operations;TEACHER SUBSTITUTE POOL;nan;Basic Educational Services - District Objective ;Salaries And Wages For Substitute Teachers;School ;nan;Instruction;All Campus Payroll;DEGREED SUBSTITUTE;93.727986111;Basic Educational Services;General Operating Fund;REGULAR PAY
Legal;Business Services;Leadership & Management;Non-School;Unspecified;NO_LABEL;Contracted Services;NO_LABEL;PreK-12 Operating;ATTORNEY FEES                 ;nan;nan;nan;nan;nan;nan;BOARD                         ;nan;BOARD                         ;nan;nan;493133.09;nan;GENERAL FUND                  ;BOARD                         
Finance, Budget, Purchasing & Distribution;Business Services;Leadership & Management;Non-School;Unspecified;(Exec) Director;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;FINANCIAL SERVICES/BUSINESS OPERATIONS;LOCAL;Director;nan;nan;nan;LOGISTICS;1.0;nan;nan;nan;132067.811966;nan;nan;nan
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;nan;GENERAL FUND;Teacher, Short Term Sub ;Regular;nan;nan;nan;0.00862068965517;CORE MATTERS;nan;PROFESSIONAL-INSTRUCTIONAL;220.035876936;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
